Metal Gear Solid 3: Subsistence,4.6,0.34,0.01,0.15,0.06,0.55
Chrono Trigger,4.5,1.94,0.4,5.0200000000000005,0.2,7.56
Silent Hill 2: Restless Dreams,4.5,0.21,0.06,0,0.01,0.28
Bloodborne,4.5,3,2.2800000000000002,0.78,1.08,7.14
Silent Hill 2,4.5,1.8599999999999999,1.47,0,0.48,3.84
Mother 3,4.5,0,0,0.39,0.01,0.4
Metal Gear Solid 3: Snake Eater,4.5,4.38,0,2.4899999999999998,5.79,12.690000000000001
Metal Gear Solid 2: Sons of Liberty,4.4,2.45,2.01,0.87,0.72,6.05
Shadow of the Colossus,4.4,2.34,0.09,0.6000000000000001,0.39,3.42
Paper Mario: The Thousand-Year Door,4.4,2.96,0.5,0.92,0.12,4.5
Ghost Trick: Phantom Detective,4.4,0.4,0.16,0.24,0.06,0.84
Chrono Trigger,4.4,0.97,0.2,2.51,0.09999999999999999,3.7800000000000002
Castlevania: Symphony of the Night,4.4,0.58,0.4,0.21,0.08,1.27
Suikoden II,4.4,0.15,0.1,0.38,0.04,0.68
Final Fantasy VI,4.4,0,0,0.08,0.01,0.08
Phoenix Wright: Ace Attorney - Trials and Tribulations,4.4,0.66,0.1,0.5,0.08,1.34
The Legend of Zelda: Majora's Mask,4.4,1.9,0.67,0.73,0.06,3.36
Portal 2,4.4,7.71,4.38,0.09000000000000001,1.5900000000000003,13.8
Fallout: New Vegas,4.3,14.249999999999998,7.7700000000000005,0.42000000000000004,2.8200000000000003,25.23
The Legend of Zelda: Ocarina of Time,4.3,18.39,9.479999999999999,6.21,1.3800000000000001,35.43
Xenosaga Episode III: Also sprach Zarathustra,4.3,0.09,0.07,0.18,0.02,0.37
Ape Escape 3,4.3,0.06,0.05,0,0.02,0.13
Super Mario Galaxy,4.3,18.48,10.2,3.5999999999999996,2.2800000000000002,34.56
The Witcher 3: Wild Hunt,4.3,5.460000000000001,8.67,0.63,2.1599999999999997,16.92
Kingdom Hearts II,4.3,2.72,1.01,1.5599999999999998,0.36,5.65
Killer7,4.3,0.16,0.06,0,0.01,0.24
Resident Evil,4.3,2.05,1.16,1.4,0.73,5.34
Metroid Prime,4.3,1.96,0.67,0.1,0.09,2.82
Mass Effect 2,4.3,5.56,3.2199999999999998,0.12,1.08,9.98
We Love Katamari,4.3,0.26,0.2,0,0.07,0.52
Professor Layton and the Unwound Future,4.3,0.65,1.61,0.82,0.28,3.36
Final Fantasy IX,4.3,1.62,0.77,2.78,0.14,5.3
Super Mario Galaxy 2,4.3,10.98,7.26,2.94,1.92,23.07
Minecraft,4.3,32.46,26.550000000000004,3.4500000000000006,8.789999999999997,71.19
Resident Evil 4,4.3,13.200000000000001,5.459999999999999,2.460000000000001,1.56,22.710000000000004
Dead Space,4.3,5.819999999999999,4.800000000000001,0,1.4699999999999998,12.09
Resident Evil 2,4.3,6.809999999999999,4.68,6.270000000000001,1.3800000000000001,19.139999999999997
Warcraft III: The Frozen Throne,4.3,0.58,0.87,0,0.09,1.54
Super Metroid,4.3,0.57,0.12,0.71,0.02,1.42
Kirby Super Star Ultra,4.3,3.14,0.08,2.38,0.3,5.92
Dark Souls,4.3,4.17,2.46,1.62,0.9299999999999999,9.209999999999999
Ninja Gaiden Black,4.3,0.07,0.02,0,0,0.09
Xenoblade Chronicles,4.2,0.75,0.4,0.28,0.12,1.54
Fire Emblem: Path of Radiance,4.2,0.29,0.08,0.16,0.01,0.54
Halo 3,4.2,7.97,2.83,0.13,1.21,12.14
The Legend of Zelda: Twilight Princess HD,4.2,0.48,0.3,0.08,0.08,0.94
Fatal Frame II: Crimson Butterfly,4.2,0.16,0.12,0,0.04,0.32
Final Fantasy VII,4.2,12.04,9.88,13.12,3.84,38.88
Minecraft,4.2,10.819999999999999,8.85,1.15,2.9299999999999997,23.73
The World Ends With You,4.2,0.54,0.06,0.21,0.05,0.86
Kirby: Planet Robobot,4.2,0.26,0.1,0.44,0.04,0.85
EarthBound,4.2,0,0,0.81,0,0.81
Castlevania: Aria of Sorrow,4.2,0.2,0.07,0,0,0.28
Katamari Damacy,4.2,0.94,0.04,0.34,0.16,1.46
Halo: The Master Chief Collection,4.2,1.89,0.99,0.03,0.24,3.15
Red Dead Redemption,4.2,19.47,13.740000000000002,0.7799999999999999,4.8,38.81999999999999
Silent Hill 3,4.2,0.35,0.27,0,0.09,0.71
Live A Live,4.2,0,0,0.32,0,0.32
Donkey Kong Country: Tropical Freeze,4.2,0.73,0.52,0.15,0.12,1.52
Klonoa 2: Lunatea's Veil,4.2,0.12,0.1,0.08,0.03,0.33
Mario & Luigi: Bowser's Inside Story,4.2,2.26,0.48,0.81,0.27,3.83
